name,tourism,amenity,leisure,opening_hours,website,lat,lon
,,,park,,,31.792145014870325,34.63098289505304
פארק אשדוד-ים,,,park,,,31.79671045869885,34.63537174823904
,,,park,,,31.789032015522753,34.648747587537606
גן חרד,,,park,,,31.788808384995704,34.652260051579475
גן תמרה ויונינה,,,park,,,31.788617187551033,34.64867646757147
"גן מרכזי י""ז",,,park,,,31.76842971917306,34.62580127713875
Saih Square,,,park,,,31.773110429382633,34.62571835270222
,,,park,,,31.801770099999995,34.66204865
,,,park,,,31.80086820171035,34.66369842884275
,,,park,,,31.801788499999997,34.66320845
מוזיאון אשדוד קורין ממן,museum,,,,,31.798977417763517,34.64036140290349
,,,park,,,31.79974169178077,34.63902165738365
,,,park,,,31.770625021620297,34.633375206377956
,,,park,,,31.776236451604593,34.6360177023846
,,,park,,,31.776644366666662,34.63723246666667
,,,park,,,31.79643595,34.64119575
,,,park,,,31.797006149999998,34.641598550000005
,,,park,,,31.7975868,34.6419923
,,,park,,,31.798162902403483,34.64240343230513
,,,park,,,31.799488498315565,34.643288767513276
,,,park,,,31.798260565836227,34.64399078006543
,,,park,,,31.800040552894195,34.64273288246336
גן אורי,,,park,,,31.799790365116465,34.63738961615399
,,,park,,,31.770691954975717,34.63430041171212
,,,park,,,31.772122561706915,34.635265616088354
כיכר אלתא,,,park,,,31.795405291012898,34.66265697334984
,,,park,,,31.799354049999998,34.64389735
,,,park,,,31.827592691134956,34.66014061375142
,,,park,,,31.822864025290738,34.65630583352132
,,,park,,,31.81622039605427,34.66709983840642
,,,park,,,31.80403870648949,34.652323326254226
,,,park,,,31.80434275326665,34.65297085550467
,,,park,,,31.770390329321867,34.62211269315996
,,,park,,,31.768251847422505,34.63036238619801
rock garden,attraction,,,,,31.797596972280658,34.63552710727526
,,,park,,,31.772389062023016,34.640288495956426
,,,park,,,31.77437034138147,34.64265598633031
,,,park,,,31.78349696587515,34.659226614171516
יאן פאר,,,park,,,31.776662421460752,34.631908498167064
רכבים,,,park,,,31.815179759785487,34.65609079333249
,,,park,,,31.776912625605625,34.63430893184037
,,,park,,,31.78977812636612,34.63044853182827
,,,park,,,31.784999782713893,34.65599308489321
,,,park,,,31.772199896764054,34.63804602848079
Heshvan Park,,,park,,,31.78289124999999,34.6407222
גן יעקב חזן,,,park,,,31.776399554891896,34.64616858349277
אמפי אשדוד,,theatre,,,,31.798758096337036,34.63579746232566
גן פורצי הדרך,,,park,,,31.780495573926995,34.64757976540074
גן פולק,,,park,,,31.781809799999998,34.649426899999995
"גן רשב""י",,,park,,,31.7894065333783,34.66102058132717
,,,park,,,31.789123324805864,34.63416597055664
,,,park,,,31.789612889348472,34.633381510681794
,,,park,,,31.787466208925323,34.63658297026074
,,,park,,,31.791724474125314,34.66697527805608
פארק לכיש,,,park,,,31.817986492126284,34.65130300971029
